번호,야영장명,사업주체_구분,도,시군구,주소,연락처 앞자리,연락처 중간자리,연락처 끝자리,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입
1609,용천토리 오토캠핑장,민간,경상북도,경주시,경북 경주시 산내면 대현길 390,,,,0,18,0,0,0,0,8,8,9,9,8,10,6,6,6,2018-06-11,개별,"전기,장작판매,온수,물놀이장,놀이터,운동시설","계곡 물놀이,산책로,낚시,어린이놀이시설",10,1,1,0,"여름물놀이,가을단풍명소",,불가능
1610,용추밸리 캠프 야영장,민간,경상남도,함양군,경남 함양군 안의면 매바위길 14,,,,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-26,개별,"물놀이장,운동시설","계곡 물놀이,산책로",0,1,1,0,"봄꽃여행,여름물놀이,가을단풍명소",,불가능
1611,운산리 구라이골 캠핑장,국립공원,경기도,포천시,경기도 포천시 창수면 운산리 237-15 외 9필지,31,536,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-07-27,개별,,,0,0,0,0,,,불가능
1612,워렉스 캠핑랜드,민간,전라남도,화순군,전라남도 화순군 한천면 죽헌로 376-37,61,373,4506,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-13,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설","산책로,운동장,강/물놀이",0,0,0,0,"봄꽃여행,가을단풍명소,겨울눈꽃명소,걷기길",,불가능
1613,월계수 캠핑장,민간,경상북도,경주시,경상북도 경주시 산내면 문복로 758 ,54,751,7470,32,0,0,0,0,0,7,0,0,8,0,0,32,0,0,2017-12-21,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동장,운동시설,마트_편의점","계곡 물놀이,산책로,낚시,어린이놀이시설",20,1,1,4,"여름물놀이,가을단풍명소","릴선,화로대",가능(소형견)
1614,월성오토캠핑장,민간,경상남도,거창군,경남 거창군 북상면 덕유월성로 1588-9,,,,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-20,개별,"전기,무선인터넷,장작판매,온수","계곡 물놀이,산책로",12,0,1,2,,화로대,가능(소형견)
1615,은빛물결캠핑장,민간,경기도,가평군,경기도 가평군 하면 대보리 506-1,,,,60,0,0,0,0,0,7,0,0,10,0,0,60,0,0,2015-05-29,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,산책로,운동시설,마트_편의점","계곡 물놀이,운동장,낚시,강/물놀이,수영장",50,10,10,5,"일출명소,일몰명소,낚시,봄꽃여행,여름물놀이,가을단풍명소,걷기길",,가능(소형견)
1616,의령나루캠프,민간,경상남도,의령군,경남 의령군 화정면 화정로14길 16-5,,,,0,16,0,0,0,0,10,0,0,10,0,0,16,0,0,2017-11-22,개별,"전기,무선인터넷,온수,물놀이장",,16,0,0,0,,,가능
1617,입화산 참살이숲 제2오토캠핑장,국립공원,울산광역시,중구,울산광역시 중구 다운동 8번지,52,708,2831,0,12,0,0,0,0,5,0,0,6,0,0,12,0,0,2018-12-03,불가,"전기,온수,물놀이장,산책로,운동시설","산책로,청소년체험시설,어린이놀이시설",0,0,0,0,"액티비티,걷기길",,불가능
1618,자연속 캠핑장,민간,경상북도,청도군,경상북도 청도군 운문면 운문로 1398 ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-08-25,,"전기,무선인터넷,장작판매,온수,운동시설",,0,0,0,0,,,불가능
